,date,usage,usage_diff
1,2017-06-05,171854,1351.0
2,2017-06-06,165668,-6186.0
3,2017-06-07,155895,-9773.0
4,2017-06-08,114807,-41088.0
5,2017-06-09,85991,-28816.0
6,2017-06-10,155103,69112.0
7,2017-06-11,174750,19647.0
8,2017-06-12,172203,-2547.0
9,2017-06-13,165891,-6312.0
10,2017-06-14,155641,-10250.0
11,2017-06-15,118055,-37586.0
12,2017-06-16,127914,9859.0
13,2017-06-17,158237,30323.0
14,2017-06-18,177707,19470.0
15,2017-06-19,179396,1689.0
16,2017-06-22,106842,-72554.0
17,2017-06-23,93200,-13642.0
18,2017-06-24,145200,52000.0
19,2017-06-25,165345,20145.0
20,2017-06-26,168561,3216.0
21,2017-06-27,176736,8175.0
22,2017-06-28,158625,-18111.0
23,2017-06-29,132240,-26385.0
24,2017-06-30,239826,107586.0
25,2017-07-01,163224,-76602.0
26,2017-07-02,161721,-1503.0
27,2017-07-03,169172,7451.0
28,2017-07-04,149231,-19941.0
29,2017-07-05,105363,-43868.0
30,2017-07-06,87558,-17805.0
31,2017-07-07,158923,71365.0
32,2017-07-08,173404,14481.0
33,2017-07-09,174064,660.0
34,2017-07-10,173237,-827.0
35,2017-07-11,151642,-21595.0
36,2017-07-12,118843,-32799.0
37,2017-07-13,89571,-29272.0
38,2017-07-14,154987,65416.0
39,2017-07-15,168760,13773.0
40,2017-07-16,176698,7938.0
41,2017-07-17,180044,3346.0
42,2017-07-18,149523,-30521.0
43,2017-07-19,131797,-17726.0
44,2017-07-20,121516,-10281.0
45,2017-07-21,166505,44989.0
46,2017-07-22,171183,4678.0
47,2017-07-23,181236,10053.0
48,2017-07-24,173336,-7900.0
49,2017-07-25,166255,-7081.0
50,2017-07-26,158996,-7259.0
51,2017-07-27,136018,-22978.0
52,2017-07-28,171708,35690.0
53,2017-07-29,177085,5377.0
54,2017-07-30,182381,5296.0
55,2017-08-01,189504,7123.0
56,2017-08-02,165726,-23778.0
57,2017-08-05,170490,4764.0
58,2017-08-06,172449,1959.0
59,2017-08-07,175801,3352.0
60,2017-08-08,178815,3014.0
61,2017-08-09,172812,-6003.0
62,2017-08-10,137923,-34889.0
63,2017-08-11,133337,-4586.0
64,2017-08-12,173198,39861.0
65,2017-08-13,169266,-3932.0
66,2017-08-14,171613,2347.0
67,2017-08-15,178511,6898.0
68,2017-08-16,159068,-19443.0
69,2017-08-17,157445,-1623.0
70,2017-08-18,145982,-11463.0
71,2017-08-19,200547,54565.0
